city,lat,lng,country,Region,population
Casablanca,33.5333,-7.5833,Morocco,Casablanca-Settat,3499000
Fès,34.0433,-5.0033,Morocco,Fès-Meknès,1112072
Marrakech,31.63,-8.0089,Morocco,Marrakech-Safi,966987
Tangier,35.7767,-5.8039,Morocco,Tanger-Tétouan-Al Hoceïma,947952
Sale,34.0333,-6.8,Morocco,Rabat-Salé-Kénitra,850403
Rabat,34.0209,-6.8416,Morocco,Rabat-Salé-Kénitra,572717
Meknès,33.895,-5.5547,Morocco,Fès-Meknès,520428
Oujda-Angad,34.6867,-1.9114,Morocco,Oriental,494252
Kenitra,34.25,-6.5833,Morocco,Rabat-Salé-Kénitra,431282
Agadir,30.4333,-9.6,Morocco,Souss-Massa,421844
Tétouan,35.5667,-5.3667,Morocco,Tanger-Tétouan-Al Hoceïma,380787
Taourirt,34.4169,-2.885,Morocco,Oriental,321876
Temara,33.9267,-6.9122,Morocco,Rabat-Salé-Kénitra,313510
Safi,32.2833,-9.2333,Morocco,Marrakech-Safi,308508
Khénifra,32.9394,-5.6675,Morocco,Béni Mellal-Khénifra,228567
El Jadid,33.2333,-8.5,Morocco,Casablanca-Settat,220181
Laâyoune,27.1536,-13.2033,Morocco,Laâyoune-Sakia El Hamra,217732
Mohammedia,33.6833,-7.3833,Morocco,Casablanca-Settat,208612
Kouribga,32.8833,-6.9167,Morocco,Béni Mellal-Khénifra,196196
Béni Mellal,32.3394,-6.3608,Morocco,Béni Mellal-Khénifra,192676
Ait Melloul,30.3342,-9.4972,Morocco,Souss-Massa,171847
Nador,35.1667,-2.9333,Morocco,Oriental,161726
Taza,34.2167,-4.0167,Morocco,Fès-Meknès,148456
Settat,33,-7.6167,Morocco,Casablanca-Settat,142250
Barrechid,33.2667,-7.5833,Morocco,Casablanca-Settat,136634
Al Khmissat,33.8167,-6.0667,Morocco,Rabat-Salé-Kénitra,131542
Inezgane,30.3658,-9.5381,Morocco,Souss-Massa,130333
Ksar El Kebir,35.009,-5.9,Morocco,Tanger-Tétouan-Al Hoceïma,126617
My Drarga,30.38,-9.48,Morocco,Souss-Massa,126512
Larache,35.1833,-6.15,Morocco,Tanger-Tétouan-Al Hoceïma,125008
Guelmim,28.9833,-10.0667,Morocco,Guelmim-Oued Noun,118318
Berkane,34.9167,-2.3167,Morocco,Oriental,109237
Ad Dakhla,23.7081,-15.9456,Morocco,Dakhla-Oued Ed-Dahab,106277
Bouskoura,33.4489,-7.6486,Morocco,Casablanca-Settat,103026
Al Fqih Ben Çalah,32.5,-6.5333,Morocco,Béni Mellal-Khénifra,102019
Oued Zem,32.8667,-6.5667,Morocco,Béni Mellal-Khénifra,95267
Sidi Slimane,34.26,-5.92,Morocco,Rabat-Salé-Kénitra,92989
Errachidia,31.9319,-4.4244,Morocco,Drâa-Tafilalet,92374
